id,isp_name,is_oversea
1,其他,0
2,2Degrees,1
3,3BB,1
4,ACT,1
5,AIMS,1
6,Aircel,1
7,AIS,1
8,Altice,1
9,AMS-IX,1
10,Asiacell,1
11,ASK4,1
12,Banglalink,1
13,BBIX,1
14,Biglobe,1
15,Biznet,1
16,BSNL,1
17,Camintel,1
18,CAT,1
19,Celcom,1
20,CenturyLink,1
21,CIX,1
22,Claro,1
23,Cogetel,1
24,DiGi-Telecommunication,1
25,DTAC,1
26,EarthLink,1
27,Elisa,1
28,Equinix,1
29,Ezecom,1
30,FastNet,1
31,FastWeb,1
32,Finance-and-Promoting-Technology,1
33,First-Media,1
34,Globe-Telecom,1
35,GrameenPhone,1
36,GTT,1
37,Hurricane-Electric,1
38,Idea-Cellular,1
39,Indosat,1
40,Jastel,1
41,JIO,1
42,JPIX,1
43,KDDI,1
44,KINX,1
45,Level3,1
46,Liberty,1
47,Linx,1
48,MAXIS,1
49,MegaFon,1
50,MegaPort,1
51,MIX,1
52,MobiFone,1
53,Mobile-TeleSystems,1
54,Movistar,1
55,Mtel,1
56,MyRepublic,1
57,Net1,1
58,Netnam,1
59,Netnod,1
60,Nift,1
61,Optus,1
62,RETN,1
63,Safaricom,1
64,Sify,1
65,SINET,1
66,SkyCable,1
67,SK宽带,1
68,SK电讯,1
69,Smart,1
70,SmarTone,1
71,SmileServ,1
72,So-Net,1
73,SoftLayer,1
74,Spark-New-Zealand,1
75,SpeedCast,1
76,Sprint,1
77,T-Mobile,1
78,Tata,1
79,Telecom-Cambodia,1
80,Telefonica-O2,1
81,Telenor,1
82,Teletalk,1
83,Telia-Company,1
84,Telin,1
85,Telus,1
86,Tesco,1
87,TOT,1
88,TPG电信,1
89,TPIX,1
90,Trans-Telecom,1
91,True,1
92,UMobile,1
93,VimpelCom,1
94,Vivo,0
95,Vnetwork,1
96,Webe-Digital,1
97,Workonline,1
98,XL,1
100,上海驰联,0
101,世纪互联,0
102,中华电信,0
103,互联优势,0
104,互联网泰国,1
105,亚太电信,0
106,亚马逊,1
107,俄罗斯Tele2,1
108,俄罗斯电信,1
109,信实通信,1
110,内网IP,0
111,加拿大贝尔,1
112,华数,0
114,卡塔尔电信,1
115,印尼金光,1
116,印度电信,1
117,台湾之星,0
118,台湾固网,0
119,台湾大哥大,0
120,吉视传媒,0
121,和记电讯,0
122,和记电讯印尼,1
123,哈萨克斯坦电信,1
124,墨西哥电信,1
125,墨西哥美洲移动,1
126,多科莫,1
128,天威,0
129,天驰网络,0
130,威瑞森,1
131,层峰网络,0
132,巴基斯坦电信,1
133,布伊格电信,1
134,广州驰联,0
135,广电,0
136,康卡斯特,1
137,微软,1
138,德国电信,1
139,意大利电信,1
140,扎因,1
141,教育网,0
142,文莱电信,1
143,新加坡电信,1
144,新加坡第一通,1
145,方正宽带,0
146,日本电信电话,1
147,星和移动,1
148,星通讯,1
149,东方有线,0
150,柬埔寨信威,1
151,橘子电信,1
152,歌华,0
153,沃达丰,1
154,沃达丰印度,1
155,法国电信,1
156,湄公网,1
157,湖南巨亚,0
158,湖南有线,0
159,澳大利亚电信,1
160,澳门电讯,0
161,珠江宽频,0
162,电信,0
163,电讯盈科,0
164,百度,0
165,皓宽网络,0
166,科技网,0
167,科进,0
168,移动,0
169,网上网,0
170,网宿,0
171,罗杰斯通信,1
172,美国电话电报,1
173,老挝电信企业,1
174,联通,0
175,脸书,1
176,腾讯,0
177,苹果,1
178,菲律宾长途电话公司,1
179,蓝汛,0
181,西班牙电信,1
182,西贡电信,1
183,谷歌,1
184,越南军用通讯,1
185,越南电信,1
186,越南邮电,1
187,软银,1
188,远传电信,0
189,铁通,0
190,阿卡迈,1
191,阿曼电信,1
192,阿里巴巴,0
193,阿里巴巴,0
194,雅虎,1
195,韩国电信,1
196,香港宽频,0
197,香港新世界,0
198,香港有线,0
199,马来西亚电信,1
200,鹏博士,0
201,Cloudflare,1
202,CloudflareDNS,1
203,ARTERIA,1
204,Enecom,1
205,北龙中网,0
206,Google,1
207,中国互联网络信息中心,0
208,SDNS,0
209,SoftBank,1
210,TM,1
211,LG,1
212,CJ,1
213,腾讯,0
214,DNSPod,0
215,Tikona,1
216,Singtel,1
217,BGPNet,0
218,RackIP,1
219,HE,1
220,CTG,0
221,NTT,1
222,Globe,1
223,Vodafone,1
224,Amazon,1
225,FPT,1
226,DoCoMo,1
227,歌华有线,0
228,华为,0
229,KT,1
230,京东云,0
231,中电华通,0
232,Telstra,1
233,iseek,1
234,Paltel,1
235,Orange,1
236,Zenlayer,1
237,Dvois,1
238,POSCO,1
239,KOSCOM,1
240,NHNCloud,1
241,HCN,1
242,SK,1
243,Akamai,1
244,Arelion,1
245,EE,1
246,Etisalat,1
247,Partner,1
248,IDC,1
249,Telehouse,1
250,M247,1
251,CNW,1
252,GlobalConnect,1
253,netcup,1
254,Leaseweb,1
255,Hivelocity,1
256,OWS,1
257,Scalaxy,1
258,Dedipath,1
259,XServer,1
260,Selectel,1
261,Datacamp,1
262,Alsycon,1
263,Accenture,1
264,Simoresta,1
265,Clouvider,1
266,MVPS,1
267,G-Core,1
268,HostRoyale,1
269,JustHost,1
270,GTHost,1
271,ITPSolutions,1
272,Packethub,1
273,CNservers,1
274,Hostinger,1
275,Anexia,1
276,Unmanaged,1
277,Netminders,1
278,IPXO,1
279,Maxihost,1
280,Telxius,1
281,Aire,1
282,润网数据,1
283,Prager,1
284,Cogent,1
285,ETL,1
286,YISP,1
287,ReliableSite,1
288,Contabo,1
289,艾云,1
290,Neterra,1
291,Pfcloud,1
292,Telekom,1
293,Microsoft,1
294,TubeHosting,1
295,Stark,1
296,Bunny,1
297,1GServers,1
298,Hyonix,1
299,DCTV,1
300,鹰式特网,0
301,Telfly,0
302,Virtualhost,1
303,TimeWeb,1
304,ReConn,1
305,Wolverine,1
306,Catixs,1
307,PowerLine,0
308,Avatel,1
309,Kamatera,1
310,Adista,1
311,Hostdare,1
312,AllCloud,1
313,WorldStream,1
314,Cyberzone,1
315,Delis,1
316,Rostelecom,1
317,Kcell,1
318,MEO,1
319,Ote,1
320,STC,1
321,VEON,1
322,TalkTalk,1
323,TDC,1
324,Telecom,1
325,TI,1
326,Sky,1
327,TCI,1
328,Telefonica,1
329,Telia,1
330,Level3DNS,1
331,SamsungSDS,1
332,Choopa,1
333,Syrian Telecom,1
334,Datagroup,1
335,Sprious,1
336,T72,1
337,meerfarbig,1
338,creoline,1
339,Gamma,1
340,Digi,1
341,ER-Telecom,1
